
;x/y-Pos: -104.75/-266
;Delays 1/Aqu/3/4/dead: 0.4/0.0999936/0/1E-5/0
;Slew Rate Bias/Topo: Infinity/Infinity
;CntAverage/SNR: 1/1e10
time	dz	Bias	df	It_to_PC
+9.999360E-002	+0.000000E+000	-1.000000E+002	-2.919789E+000	-3.846288E-009
+1.999872E-001	+1.181417E-002	-1.000000E+002	-2.873221E+000	-5.850035E-010
+2.999808E-001	+2.362417E-002	-1.000000E+002	-2.775429E+000	-1.651938E-011
+3.999745E-001	+3.543417E-002	-1.000000E+002	-2.705578E+000	-4.019986E-012
+4.999681E-001	+4.724416E-002	-1.000000E+002	-2.659010E+000	-3.790551E-012
+5.999617E-001	+5.905833E-002	-1.000000E+002	-2.626413E+000	-3.718504E-012
+6.999553E-001	+7.086833E-002	-1.000000E+002	-2.603129E+000	-3.775103E-012
+7.999489E-001	+8.267833E-002	-1.000000E+002	-2.586830E+000	-3.833012E-012
+8.999426E-001	+9.448832E-002	-1.000000E+002	-2.572860E+000	-3.833865E-012
+9.999362E-001	+1.063025E-001	-1.000000E+002	-2.558890E+000	-3.831830E-012
+1.099930E+000	+1.181125E-001	-1.000000E+002	-2.547248E+000	-3.877548E-012
+1.199923E+000	+1.299225E-001	-1.000000E+002	-2.535606E+000	-3.973681E-012
+1.299917E+000	+1.417325E-001	-1.000000E+002	-2.528621E+000	-3.973013E-012
+1.399911E+000	+1.535467E-001	-1.000000E+002	-2.521636E+000	-3.951011E-012
+1.499904E+000	+1.653567E-001	-1.000000E+002	-2.514650E+000	-3.989443E-012
+1.599898E+000	+1.771667E-001	-1.000000E+002	-2.507665E+000	-3.998064E-012
+1.699892E+000	+1.889766E-001	-1.000000E+002	-2.507665E+000	-4.040830E-012
+1.799885E+000	+2.007908E-001	-1.000000E+002	-2.498352E+000	-4.181877E-012
+1.899879E+000	+2.126008E-001	-1.000000E+002	-2.491367E+000	-4.139480E-012
+1.999872E+000	+2.244108E-001	-1.000000E+002	-2.484381E+000	-4.084876E-012
+2.099866E+000	+2.362208E-001	-1.000000E+002	-2.479725E+000	-4.059656E-012
+2.199860E+000	+2.480350E-001	-1.000000E+002	-2.479725E+000	-3.910689E-012
+2.299853E+000	+2.598450E-001	-1.000000E+002	-2.472740E+000	-3.995876E-012
+2.399847E+000	+2.716550E-001	-1.000000E+002	-2.463426E+000	-4.082431E-012
+2.499841E+000	+2.834650E-001	-1.000000E+002	-2.463426E+000	-4.031454E-012
+2.599834E+000	+2.952791E-001	-1.000000E+002	-2.456441E+000	-4.028945E-012
+2.699828E+000	+3.070891E-001	-1.000000E+002	-2.454113E+000	-4.046798E-012
+2.799821E+000	+3.188991E-001	-1.000000E+002	-2.456441E+000	-4.118901E-012
+2.899815E+000	+3.307091E-001	-1.000000E+002	-2.447127E+000	-4.205198E-012
+2.999809E+000	+3.425233E-001	-1.000000E+002	-2.442471E+000	-4.195918E-012
+3.099802E+000	+3.543333E-001	-1.000000E+002	-2.430829E+000	-4.161756E-012
+3.199796E+000	+3.661433E-001	-1.000000E+002	-2.435485E+000	-4.160711E-012
+3.299789E+000	+3.779533E-001	-1.000000E+002	-2.430829E+000	-4.367274E-012
+3.399783E+000	+3.897675E-001	-1.000000E+002	-2.416858E+000	-4.389992E-012
+3.499777E+000	+4.015775E-001	-1.000000E+002	-2.423844E+000	-4.366221E-012
+3.599770E+000	+4.133875E-001	-1.000000E+002	-2.414530E+000	-4.303566E-012
+3.699764E+000	+4.251975E-001	-1.000000E+002	-2.412202E+000	-4.285914E-012
+3.799758E+000	+4.370116E-001	-1.000000E+002	-2.409873E+000	-4.374552E-012
+3.899751E+000	+4.488216E-001	-1.000000E+002	-2.416858E+000	-4.367314E-012
+3.999745E+000	+4.606316E-001	-1.000000E+002	-2.395903E+000	-4.434673E-012
+4.099738E+000	+4.724416E-001	-1.000000E+002	-2.416858E+000	-4.475703E-012
+4.199732E+000	+4.842558E-001	-1.000000E+002	-2.405217E+000	-4.425602E-012
+4.299726E+000	+4.960658E-001	-1.000000E+002	-2.374948E+000	-4.443423E-012
+4.399719E+000	+5.078758E-001	-1.000000E+002	-2.374948E+000	-4.449406E-012
+4.499713E+000	+5.196858E-001	-1.000000E+002	-2.395903E+000	-4.489189E-012
+4.599707E+000	+5.315000E-001	-1.000000E+002	-2.384261E+000	-4.450692E-012
+4.699700E+000	+5.433099E-001	-1.000000E+002	-2.388918E+000	-4.407491E-012
+4.799694E+000	+5.551199E-001	-1.000000E+002	-2.386590E+000	-4.327298E-012
+4.899687E+000	+5.669299E-001	-1.000000E+002	-2.374948E+000	-4.272139E-012
+4.999681E+000	+5.787441E-001	-1.000000E+002	-2.391246E+000	-4.272356E-012
+5.099675E+000	+5.905541E-001	-1.000000E+002	-2.360977E+000	-4.222681E-012
+5.199668E+000	+6.023641E-001	-1.000000E+002	-2.347007E+000	-4.090135E-012
+5.299662E+000	+6.141741E-001	-1.000000E+002	-2.353992E+000	-4.112331E-012
+5.399656E+000	+6.259883E-001	-1.000000E+002	-2.363306E+000	-4.161571E-012
+5.499649E+000	+6.377983E-001	-1.000000E+002	-2.367962E+000	-4.198861E-012
+5.599643E+000	+6.496083E-001	-1.000000E+002	-2.328380E+000	-4.200269E-012
+5.699636E+000	+6.614183E-001	-1.000000E+002	-2.358649E+000	-4.172219E-012
+5.799630E+000	+6.732283E-001	-1.000000E+002	-2.358649E+000	-4.180019E-012
+5.899624E+000	+6.850424E-001	-1.000000E+002	-2.321395E+000	-4.204965E-012
+5.999617E+000	+6.968524E-001	-1.000000E+002	-2.372619E+000	-4.221716E-012
+6.099611E+000	+7.086624E-001	-1.000000E+002	-2.330708E+000	-4.260896E-012
+6.199604E+000	+7.204724E-001	-1.000000E+002	-2.330708E+000	-4.323181E-012
+6.299598E+000	+7.322866E-001	-1.000000E+002	-2.395903E+000	-4.344395E-012
+6.399592E+000	+7.440966E-001	-1.000000E+002	-2.291126E+000	-4.329831E-012
